Fecha,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
1999-03-08,35.40953,35.40953,20.25953,35.40953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.00953,20.00953,20.00953,20.27053,20.27053,20.27053,20.27053,20.25953,20.25953,40.51253000000001,20.25953,20.27053,20.00953,20.00953
1999-03-09,20.27053,35.27953,35.27953,20.00853,20.25953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,38.40953,35.27953,20.00953,20.26853,20.00953
1999-03-10,20.26953,20.26953,20.26953,20.26953,20.25953,20.26953,26.40953,26.40953,26.40953,26.40953,20.26953,20.26953,20.26953,20.00953,20.00953,20.00953,20.00953,20.00953,20.26953,20.26953,20.26953,20.00953,30.40953,26.40953
1999-03-11,20.27053,26.40953,20.27053,20.27053,20.27053,26.40953,20.27053,20.27053,20.27053,20.00853,19.99753,19.99753,20.00853,20.00853,20.00853,20.00853,20.00953,20.00953,20.00953,20.27053,20.00953,20.00853,20.00853,19.95953
1999-03-12,20.00953,20.00953,20.00953,20.27053,24.40953,24.40953,20.27053,20.27053,20.27053,20.27053,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.00953,20.27053,20.27053,20.00953,20.00953,20.00853
1999-03-13,19.99753,19.99753,19.99753,19.99753,20.27053,19.99753,19.99753,19.99753,19.99753,19.99753,19.99753,19.99753,20.27053,20.27053,20.27053,20.27053,19.99753,19.99753,19.99753,20.27053,19.99753,19.99753,19.99753,19.99753
1999-03-14,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,19.80953,29.90953,19.99753,19.99753,29.90953,29.90953,29.90953,20.27053,29.90953,29.90953,29.90953,29.90953,19.99753,20.27053,20.27053,20.27053,20.27053,19.99753
1999-03-15,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,19.80953,19.80953,19.80953,19.80953,19.80953,19.90953,19.80953,19.80953,19.80953,19.80953,19.80953,19.80953,20.27053,35.40953,20.27053,19.90953,20.27053,19.90953
1999-03-16,27.40953,20.26953,20.26953,20.26953,27.40953,20.26953,19.91053,19.91053,19.80953,19.80953,19.80953,19.90953,19.91153,19.91153,19.91153,19.91153,19.91153,20.26953,20.26953,30.40953,20.26953,19.91153,27.40953,20.26953
1999-03-17,19.91153,19.91153,19.91053,19.91053,25.40953,35.40953,20.27053,20.27053,20.27053,19.91153,20.27053,20.27053,20.27053,19.91153,19.91053,19.91053,20.27053,20.27053,20.27053,35.40953,19.91153,19.91053,25.40953,19.91153
1999-03-18,19.81053,19.81053,19.81053,19.81053,19.75953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,26.40953,26.40953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,26.40953,20.27053,19.81053,19.81053,19.81053
1999-03-19,20.27053,20.27053,20.27053,20.27053,19.81053,20.27053,19.81053,19.81153,19.81153,19.81153,19.81153,20.27053,19.81153,19.81153,19.81153,19.81053,19.81153,19.81153,19.90953,20.27053,19.81153,19.90953,20.27053,19.81153
1999-03-20,19.70953,19.70953,19.70953,19.70953,19.71953,19.72953,19.72953,20.27053,20.27053,20.27053,20.27053,32.40953,32.40953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,38.40953,20.27053,20.27053,19.72953,20.27053
1999-03-21,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,19.72953,19.72953,20.27053,19.90953,19.71953,19.71953,19.71953,19.71953,20.27053,19.72953,19.72953,19.72953,19.72953,20.27053,19.90953,19.71953,20.27053,19.72953
1999-03-22,19.90953,19.72953,19.72953,19.72953,19.72953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,38.40953,20.27053,19.71953,20.27053,19.71953
1999-03-23,19.71953,19.71953,19.71953,19.71953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,19.72953,20.27053,19.90953,19.90953,20.27053,19.72953,20.27053,20.27053,20.27053,19.71953,20.27053,19.72953
1999-03-24,19.70953,19.70953,19.70953,19.70953,18.50953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,18.60953,20.27053,43.90953,20.27053,19.70953,20.27053,19.70953
1999-03-25,18.40953,18.40953,18.40953,18.40953,18.50953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,36.40953,36.40953,38.40953,38.90953,38.40953,38.90953,20.27053,20.27053,43.90953,20.27053,18.50953,20.27053,18.50953
1999-03-26,20.30953,20.27053,20.27053,20.27053,18.60953,36.40953,18.60953,18.60953,20.27053,20.30953,20.30953,38.40953,36.40953,38.40953,38.40953,38.40953,38.40953,20.27053,20.27053,20.30953,18.60953,18.50953,20.27053,18.40953
1999-03-27,20.27053,20.27053,20.27053,20.27053,20.27053,18.40953,18.40953,18.40953,18.60953,18.60953,20.27053,20.27053,20.27053,20.27053,18.60953,18.60953,18.60953,18.40953,18.60953,18.60953,18.40953,18.40953,20.27053,20.27053
1999-03-28,20.27053,20.27053,18.60953,18.60953,18.70953,18.40953,18.35953,18.40953,18.40953,18.35953,18.35953,18.35953,18.40953,18.40953,18.40953,18.40953,18.40953,18.40953,18.70953,18.60953,18.50953,18.60953,20.27053,20.27053
1999-03-29,18.60953,18.60953,18.60953,18.60953,18.60953,20.27053,18.60953,18.60953,18.60953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,18.40953,20.27053,18.40953,20.27053,20.27053,20.27053
1999-03-30,18.40953,18.40953,18.40953,18.40953,18.40953,18.40953,18.40953,18.40953,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,20.27053,36.40953,38.40953,20.27053,20.27053,18.36153,18.40953,18.40953,18.40953
1999-03-31,20.27053,20.27053,20.27053,20.27053,20.27053,18.40953,20.27053,18.70953,20.27053,20.27053,20.27053,36.40953,20.27053,20.27053,20.27053,18.36153,18.36153,20.27053,18.36153,18.36153,18.35953,20.27053,20.27053,20.27053
1999-04-01,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,19.93196,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096
1999-04-02,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.87396,19.93196,21.85096,19.93196,19.87396,19.93196,19.87396
1999-04-03,20.10196,20.10196,20.10196,20.10196,20.10196,20.10196,19.93196,20.10196,20.10196,19.93196,19.93196,21.85096,19.93196,19.93196,19.93196,19.93196,19.93196,19.87396,21.85096,21.85096,21.85096,19.93196,19.93196,19.93196
1999-04-04,19.93296,19.93296,19.93296,19.93296,19.93296,19.93296,19.93196,19.93296,19.93296,19.93196,19.93296,19.93296,19.93296,19.93296,19.93296,19.93196,19.93196,19.87396,19.93196,21.85096,19.93196,19.93296,19.87396,19.93296
1999-04-05,20.10196,20.10196,20.10196,20.10196,20.10196,20.10196,20.10196,27.10196,27.10196,27.10196,28.10196000000001,28.10196000000001,28.10196000000001,27.10196,28.10196000000001,28.10196000000001,28.10196000000001,28.10196000000001,27.10196,28.10196000000001,27.10196,21.85096,21.85096,19.93196
1999-04-06,20.10196,20.10196,20.10196,20.10196,20.10196,21.85096,21.85096,29.10196000000001,39.10196000000001,23.10196,23.10196,23.10196,23.10196,25.10196,21.85096,21.85096,25.10196,25.10196,26.10196,45.60196000000001,26.10196,21.85096,21.85096,19.87396
1999-04-07,20.10196,20.10196,20.10196,20.10196,20.10196,21.85096,40.60196000000001,40.60196000000001,40.60196000000001,25.10196,25.10196,37.10196000000001,25.10196,21.85096,21.85096,21.85096,19.93196,19.93196,21.85096,23.10196,21.85096,19.87396,19.90196,19.87396
1999-04-08,20.10196,20.10196,21.85096,21.85096,21.85096,23.10196,31.10196000000001,26.10196,37.10196000000001,26.10196,26.10196,31.10196000000001,26.10196,23.10196,23.10196,23.10196,26.10196,26.10196,26.10196,45.60196000000001,23.10196,23.10196,23.10196,21.85096
1999-04-09,21.85096,21.85096,21.85096,21.85096,21.85096,24.10196,24.10196,24.10196,24.10196,21.85096,24.10196,24.10196,24.10196,21.85096,21.85096,21.85096,21.85096,24.10196,23.10196,24.10196,23.10196,24.10196,21.85096,21.85096
1999-04-10,21.85096,21.85096,21.85096,21.85096,21.85096,20.10196,19.87396,21.85096,25.10196,25.10196,25.10196,25.10196,26.10196,25.10196,21.85096,21.85096,21.85096,25.10196,25.10196,25.10196,23.10196,25.10196,26.10196,25.10196
1999-04-11,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,21.85096,25.10196,45.60196000000001,44.60196000000001,21.85096,21.85096,21.85096
1999-04-12,21.85096,25.10196,25.10196,21.85096,21.85096,25.10196,21.85096,21.85096,21.85096,25.10196,25.10196,26.10196,25.10196,25.10196,25.10196,25.10196,25.10196,25.10196,26.10196,37.60196000000001,25.10196,25.10196,25.10196,21.85096
1999-04-13,21.85096,21.85096,21.85096,21.85096,21.85096,26.10196,25.10196,21.85096,25.10196,25.10196,26.10196,26.10196,26.10196,25.10196,21.85096,21.85096,21.85096,25.10196,26.10196,26.10196,25.10196,25.10196,26.10196,21.85096
1999-04-14,21.85096,21.85096,21.85096,21.85096,21.85096,26.00196,26.00196,21.85096,26.00196,26.00196,26.10196,26.10196,26.00196,21.85096,21.85096,21.85096,21.85096,26.00196,26.00196,26.10196,26.00196,26.00196,26.00196,21.85096
1999-04-15,21.85096,21.85096,21.85096,21.85096,21.85096,26.00196,21.85096,21.85096,21.85096,21.85096,21.85096,26.00196,21.85096,21.85096,21.85096,21.85096,21.85096,26.00196,26.00196,26.10196,26.00196,26.00196,26.10196,21.85096
